cip2020_code,cip2020_title,score,completions_latest_year,employment_weighted_openings,n_socs_used,no_labor_data,has_soc_11_1021,matched_soc_codes
52.0211,Project Management,84.7,1405.0,90.60,3,f,f,"11-9199, 13-1082, 25-1011"
42.2812,Forensic Psychology,84.6,1587.0,99.02,3,f,f,"11-9199, 19-3039, 25-1066"
42.2813,Applied Psychology,84.4,1258.0,99.02,3,f,f,"11-9199, 19-3039, 25-1066"
51.2211,Health Services Administration,84.3,1112.0,62.10,1,f,f,11-9111
30.3001,Computational Science,84.2,1682.0,25.52,3,f,f,"15-1299, 15-2051, 25-1199"
42.2803,Counseling Psychology,84.2,10254.0,96.80,3,f,f,"11-9199, 19-3033, 21-1019"
52.0101,"Business/Commerce, General",84.2,8023.0,227.71,3,f,t,"11-1021, 11-9199, 13-1111"
44.0401,Public Administration,84.0,10493.0,241.85,3,f,t,"11-1021, 11-9199, 11-1011"
42.2703,Developmental and Child Psychology,83.9,1007.0,86.58,3,f,f,"11-9199, 21-1021, 19-3033"
51.3822,Women's Health Nurse/Nursing,83.8,300.0,171.31,3,f,f,"29-1141, 29-1171, 25-1072"
52.0206,Non-Profit/Public/Organizational Management,83.7,1297.0,234.29,3,f,t,"11-1021, 11-9199, 11-9111"
45.0999,"International Relations and National Security Studies, Other",83.6,354.0,104.51,3,f,f,"11-9199, 25-1065, 19-3094"
42.2801,Clinical Psychology,83.5,3156.0,97.70,3,f,f,"11-9199, 19-3033, 25-1066"
52.0701,Entrepreneurship/Entrepreneurial Studies,83.5,1031.0,241.85,3,f,t,"11-1021, 11-9199, 11-1011"
52.0301,Accounting,83.4,12504.0,111.64,3,f,f,"13-2011, 25-1011, 13-2082"
42.0101,"Psychology, General",83.4,6999.0,97.51,3,f,f,"11-9199, 19-3033, 19-3039"
52.1302,Business Statistics,83.4,3993.0,16.79,3,f,f,"15-2051, 25-1011, 25-1022"
51.0913,Athletic Training/Trainer,83.2,2008.0,24.78,2,f,f,"25-1071, 29-9091"
51.0912,Physician Assistant,83.2,12020.0,21.86,2,f,f,"25-1071, 29-1071"
52.1001,"Human Resources Management/Personnel Administration, General",83.2,5218.0,61.18,3,f,f,"13-1071, 13-1151, 13-1041"
