cip2020_title,score,band,employment_weighted_openings,employment_weighted_growth_pct,completions_latest_year,pct_completions_latest_year,pct_employment_weighted_openings,pct_completions_trend_pct,pct_employment_weighted_growth_pct,pct_bls_top30_flag,in_bls_top30_flag,is_finalist,proposed_name
"Biological and Biomedical Sciences, Other",52.2,Test,6.62,4.03,1810.0,91.9,20.3,71.0,52.8,0.0,f,f,
Health Teacher Education,52.2,Test,54.65,-1.59,487.0,80.5,71.8,39.8,3.8,0.0,f,f,
Molecular Medicine,52.2,Test,8.43,6.87,97.0,56.7,31.0,95.9,76.4,0.0,f,f,
International and Intercultural Communication,52.2,Test,21.12,3.88,92.0,55.7,56.9,71.2,51.3,0.0,f,f,
Early Childhood and Family Studies,52.2,Test,137.75,-1.79,17.0,30.9,96.4,90.4,3.0,0.0,f,f,
Strategic Intelligence,52.1,Test,,,85.0,54.1,,82.7,,0.0,f,f,
Biotechnology,52.1,Test,6.62,4.03,2055.0,92.9,20.3,68.1,52.8,0.0,f,f,
Bible/Biblical Studies,51.9,Test,11.86,1.87,730.0,84.6,42.8,60.9,30.2,0.0,f,f,
Marine Biology and Biological Oceanography,51.9,Test,7.89,4.57,349.0,76.1,29.0,70.2,65.8,0.0,f,f,
Building/Construction Site Management/Manager,51.8,Test,65.58,5.09,0.0,0.0,78.4,,70.3,100.0,t,f,
Spanish Language and Literature,51.8,Test,61.05,-1.36,576.0,82.3,75.0,24.5,6.2,0.0,f,f,
Biochemistry,51.8,Test,9.16,6.00,325.0,74.9,34.2,53.9,73.3,0.0,f,f,
"Plant Sciences, General",51.7,Test,78.16,-0.88,96.0,56.4,80.9,57.5,12.3,0.0,f,f,
"Health and Wellness, General",51.6,Test,7.85,7.73,395.0,78.2,28.8,,78.6,0.0,f,f,
"Dietetics and Clinical Nutrition Services, Other",51.6,Test,6.20,5.50,229.0,70.1,18.2,95.2,72.0,0.0,f,f,
Montessori Teacher Education,51.6,Test,72.23,-1.86,193.0,68.2,79.2,47.4,2.1,0.0,f,f,
Engineering Design,51.6,Test,11.30,3.67,150.0,63.9,39.2,88.8,49.2,0.0,f,f,
Bilingual and Multilingual Education,51.5,Test,72.23,-1.86,447.0,79.7,79.2,23.2,2.1,0.0,f,f,
Medical Office Management/Administration,51.5,Test,144.50,-0.30,8.0,21.5,96.5,92.9,14.3,0.0,f,f,
Law Enforcement Investigation and Interviewing,51.5,Test,46.18,2.54,97.0,56.7,69.7,,39.1,0.0,f,f,
Exercise Science and Kinesiology,51.5,Test,1.70,9.50,2684.0,93.9,6.5,59.5,83.3,0.0,f,f,
"Natural Resources Conservation and Research, Other",51.3,Test,,,97.0,56.7,,74.7,,0.0,f,f,
European History,51.3,Test,104.54,4.41,1.0,10.0,92.8,9.6,60.4,100.0,t,f,
Human-Centered Technology Design,51.3,Test,9.10,7.00,271.0,72.5,33.9,,77.8,0.0,f,f,
Science Teacher Education/General Science Teacher Education,51.2,Test,54.65,-1.59,586.0,82.6,71.8,28.8,3.8,0.0,f,f,
Palliative Care Nursing,51.1,Test,171.31,8.15,0.0,0.0,97.3,0.0,79.4,100.0,t,f,
"Social Work, Other",51.1,Test,26.67,5.23,81.0,53.2,62.1,39.2,71.1,0.0,f,f,
Financial Risk Management,51.1,Test,246.51,6.32,0.0,0.0,99.5,0.0,74.7,100.0,t,f,
Junior High/Intermediate/Middle School Education and Teaching,51.0,Test,54.65,-1.59,600.0,82.7,71.8,27.1,3.8,0.0,f,f,
Accounting and Computer Science,51.0,Test,110.12,11.32,0.0,0.0,94.3,0.0,84.8,100.0,t,f,
Animal Health,51.0,Test,84.15,-1.21,32.0,39.4,82.9,86.0,9.6,0.0,f,f,
"Educational, Instructional, and Curriculum Supervision",51.0,Test,16.69,-0.52,1112.0,89.0,49.1,49.9,13.7,0.0,f,f,
Biology Teacher Education,51.0,Test,54.65,-1.59,326.0,75.0,71.8,42.8,3.8,0.0,f,f,
Art Teacher Education,51.0,Test,53.61,-1.52,666.0,83.5,71.3,25.0,5.5,0.0,f,f,
Environmental Toxicology,50.9,Test,19.58,13.80,15.0,29.2,53.4,18.5,89.0,100.0,t,f,
Criminal Justice/Safety Studies,50.9,Test,9.57,1.98,3043.0,94.7,35.3,48.6,30.8,0.0,f,f,
"City/Urban, Community, and Regional Planning",50.9,Test,11.75,3.58,1433.0,90.8,42.5,24.7,47.7,0.0,f,f,
Human Nutrition,50.8,Test,6.00,5.43,514.0,81.1,18.0,68.4,71.8,0.0,f,f,
"Entrepreneurial and Small Business Operations, Other",50.8,Test,,,103.0,58.2,,69.9,,0.0,f,f,
"Music Performance, General",50.8,Test,13.54,1.12,2115.0,93.1,46.0,40.0,20.4,0.0,f,f,
Dental Assisting/Assistant,50.8,Test,41.90,11.10,0.0,0.0,68.4,,84.5,100.0,t,f,
Social Studies Teacher Education,50.8,Test,56.78,-1.75,477.0,80.2,74.1,27.1,3.2,0.0,f,f,
"Public Policy Analysis, Other",50.7,Test,,,45.0,44.3,,97.3,,0.0,f,f,
Intellectual Property Law,50.6,Test,30.53,4.04,101.0,57.8,64.7,37.5,55.0,0.0,f,f,
Digital Dentistry,50.6,Test,26.79,16.92,0.0,0.0,62.3,,95.6,100.0,t,f,
Mass Communication/Media Studies,50.6,Test,10.46,2.91,1100.0,88.9,37.1,44.1,41.0,0.0,f,f,
Clinical and Translational Science,50.5,Test,9.60,8.70,43.0,43.4,35.4,96.5,82.3,0.0,f,f,
"Purchasing, Procurement/Acquisitions and Contracts Management",50.4,Test,17.36,4.59,296.0,73.3,50.3,23.0,66.1,0.0,f,f,
Pastoral Studies/Counseling,50.4,Test,18.27,2.12,612.0,82.9,51.0,35.0,33.1,0.0,f,f,
Museology/Museum Studies,50.4,Test,11.82,2.43,506.0,81.0,42.7,50.7,38.2,0.0,f,f,
Nuclear Engineering,50.3,Test,11.86,4.31,311.0,74.4,42.8,42.0,58.9,0.0,f,f,
Playwriting and Screenwriting,50.3,Test,11.31,2.70,304.0,74.1,40.7,65.8,39.9,0.0,f,f,
Kinesiotherapy/Kinesiotherapist,50.2,Test,12.26,10.79,34.0,39.9,43.9,82.5,84.3,0.0,f,f,
School Librarian/School Library Media Specialist,50.1,Test,13.50,1.70,305.0,74.2,45.6,67.2,27.0,0.0,f,f,
Communication Management and Strategic Communications,50.1,Test,5.54,4.72,343.0,75.8,14.8,85.3,67.5,0.0,f,f,
Bioethics/Medical Ethics,50.1,Test,10.00,2.22,432.0,79.2,36.0,69.8,33.5,0.0,f,f,
Transportation and Highway Engineering,50.1,Test,18.99,4.84,82.0,53.4,52.5,53.6,68.3,0.0,f,f,
Education/Teaching of Individuals in Secondary Special Education Programs,50.1,Test,9.38,-0.44,621.0,83.0,35.1,83.7,14.0,0.0,f,f,
Computer Game Programming,50.1,Test,98.49,13.91,0.0,0.0,89.2,0.0,89.2,100.0,t,f,
Criminalistics and Criminal Science,50.0,Test,43.70,2.64,63.0,49.3,69.0,57.1,39.7,0.0,f,f,
Engineering Science,50.0,Test,11.30,3.67,362.0,76.9,39.2,51.9,49.2,0.0,f,f,
Molecular Biology,49.9,Test,9.16,6.00,231.0,70.3,34.2,50.2,73.3,0.0,f,f,
Structural Engineering,49.9,Test,18.99,4.84,147.0,63.5,52.5,32.2,68.3,0.0,f,f,
Computational Mathematics,49.8,Test,18.70,24.33,9.0,22.9,52.1,15.3,99.9,100.0,t,f,
"Classics and Classical Languages, Literatures, and Linguistics, Other",49.7,Test,61.05,-1.36,49.0,45.7,75.0,84.0,6.2,0.0,f,f,
International Finance,49.6,Test,55.87,11.60,2.0,12.2,73.7,7.1,85.0,100.0,t,f,
Play Therapy/Therapist,49.6,Test,23.62,16.36,0.0,0.0,60.2,,94.2,100.0,t,f,
Chemistry Teacher Education,49.5,Test,54.65,-1.59,120.0,60.5,71.8,61.7,3.8,0.0,f,f,
Earth Science Teacher Education,49.5,Test,54.65,-1.59,98.0,57.2,71.8,68.0,3.8,0.0,f,f,
Small/Companion Animal Surgery and Medicine,49.5,Test,21.79,15.53,3.0,14.1,58.2,25.5,93.0,100.0,t,f,
Music Pedagogy,49.5,Test,15.04,1.35,151.0,64.2,47.6,82.3,24.2,0.0,f,f,
Biological/Biosystems Engineering,49.4,Test,11.30,3.67,87.0,54.7,39.2,92.5,49.2,0.0,f,f,
"Pastoral Counseling and Specialized Ministries, Other",49.4,Test,12.87,2.58,212.0,69.5,45.0,61.0,39.2,0.0,f,f,
Community College Administration,49.3,Test,15.10,1.70,121.0,60.9,48.2,83.4,27.0,0.0,f,f,
"Design and Visual Communications, General",49.3,Test,14.68,3.23,396.0,78.3,47.3,34.1,43.3,0.0,f,f,
Drama and Dance Teacher Education,49.2,Test,53.61,-1.52,106.0,58.7,71.3,62.2,5.5,0.0,f,f,
Keyboard Instruments,49.2,Test,15.04,1.35,250.0,71.5,47.6,65.6,24.2,0.0,f,f,
Tribal/Indigenous Law,49.2,Test,30.53,4.04,23.0,35.2,64.7,73.4,55.0,0.0,f,f,
Plant Protection and Integrated Pest Management,49.0,Test,82.30,-1.16,36.0,41.0,82.5,69.8,9.9,0.0,f,f,
Medical/Clinical Assistant,49.0,Test,89.96,13.76,0.0,0.0,85.5,0.0,88.8,100.0,t,f,
Education/Teaching of Individuals in Elementary Special Education Programs,49.0,Test,5.60,2.10,1381.0,90.7,14.9,83.0,32.6,0.0,f,f,
Turf and Turfgrass Management,48.9,Test,134.08,3.40,4.0,15.9,96.1,57.5,44.6,0.0,f,f,
Arabic Language and Literature,48.9,Test,61.05,-1.36,36.0,41.0,75.0,88.1,6.2,0.0,f,f,
Stringed Instruments,48.8,Test,15.04,1.35,273.0,72.5,47.6,60.7,24.2,0.0,f,f,
Mining and Mineral Engineering,48.8,Test,12.20,4.52,85.0,54.1,43.7,64.8,65.1,0.0,f,f,
Engineering Physics/Applied Physics,48.8,Test,11.45,3.21,186.0,67.7,40.9,64.7,43.2,0.0,f,f,
Chemical and Biomolecular Engineering,48.8,Test,11.30,3.67,80.0,53.0,39.2,91.6,49.2,0.0,f,f,
Geography and Environmental Studies,48.7,Test,7.58,3.03,186.0,67.7,27.2,92.6,42.0,0.0,f,f,
Architectural Engineering,48.7,Test,11.30,3.67,197.0,68.5,39.2,60.1,49.2,0.0,f,f,
Agricultural Engineering,48.6,Test,12.43,4.63,202.0,68.7,44.0,32.3,66.2,0.0,f,f,
Foreign Language Teacher  Education,48.6,Test,54.65,-1.59,206.0,69.1,71.8,38.3,3.8,0.0,f,f,
Education/Teaching of Individuals with Multiple Disabilities,48.5,Test,8.50,-0.86,1078.0,88.6,32.3,69.1,12.4,0.0,f,f,
Health Communication,48.5,Test,21.63,5.69,85.0,54.1,57.6,27.3,72.7,0.0,f,f,
"Microbiology, General",48.5,Test,7.89,4.57,232.0,70.4,29.0,59.0,65.8,0.0,f,f,
Veterinary/Animal Health Technology/Technician and Veterinary Assistant,48.5,Test,23.02,13.40,0.0,0.0,59.7,,88.5,100.0,t,f,
"Veterinary Biomedical and Clinical Sciences, Other",48.4,Test,21.63,15.46,0.0,0.0,57.6,,92.4,100.0,t,f,
Magnetic Resonance Imaging (MRI) Technology/Technician,48.3,Test,24.12,15.95,2.0,12.2,60.8,16.0,93.6,100.0,t,f,
Physical Therapy Assistant,48.3,Test,19.80,22.00,0.0,0.0,53.9,,99.4,100.0,t,f,
Golf Course Operation and Grounds Management,48.3,Test,132.91,3.52,5.0,17.3,96.0,,47.0,0.0,f,f,
Pathology/Pathologist Assistant,48.2,Test,7.00,4.50,153.0,64.6,24.2,78.9,64.8,0.0,f,f,
Health Unit Manager/Ward Supervisor,48.1,Test,62.10,23.20,0.0,0.0,77.4,0.0,99.5,100.0,t,f,
"Foreign Languages and Literatures, General",48.0,Test,61.05,-1.36,170.0,66.7,75.0,30.6,6.2,0.0,f,f,
Missions/Missionary Studies,48.0,Test,11.86,1.87,343.0,75.8,42.8,52.8,30.2,0.0,f,f,
Labor Studies,48.0,Test,13.17,4.33,52.0,46.9,45.4,75.9,59.5,0.0,f,f,
Genetic Counseling/Counselor,48.0,Test,0.30,9.30,375.0,77.6,0.3,81.4,82.9,0.0,f,f,
Electroneurodiagnostic/Electroencephalographic Technology/Technologist,48.0,Test,22.13,12.68,0.0,0.0,59.0,,87.5,100.0,t,f,
Animal Training,47.9,Test,5.94,4.92,101.0,57.8,17.6,99.6,69.2,0.0,f,f,
Voice and Opera,47.9,Test,13.54,1.12,293.0,73.2,46.0,60.6,20.4,0.0,f,f,
Anthrozoology,47.9,Test,73.12,2.82,23.0,35.2,80.0,,40.8,0.0,f,f,
Applied Engineering,47.8,Test,9.30,2.10,213.0,69.5,34.7,77.6,32.6,0.0,f,f,
Small Business Administration/Management,47.7,Test,104.77,4.54,0.0,0.0,93.0,0.0,65.5,100.0,t,f,
General Studies,47.5,Test,13.50,1.80,214.0,69.6,45.6,57.1,29.4,0.0,f,f,
American Sign Language (ASL),47.5,Test,61.05,-1.36,20.0,32.9,75.0,94.6,6.2,0.0,f,f,
Environmental Education,47.5,Test,72.23,-1.86,29.0,37.7,79.2,80.7,2.1,0.0,f,f,
Pathology/Experimental Pathology,47.4,Test,8.43,6.87,118.0,60.3,31.0,57.3,76.4,0.0,f,f,
"Special Education and Teaching, General",47.4,Test,8.46,-1.33,13894.0,99.3,32.2,44.3,8.4,0.0,f,f,
"Drama and Dramatics/Theatre Arts, General",47.4,Test,10.39,3.01,820.0,85.7,36.9,29.3,41.7,0.0,f,f,
"Energy Systems Engineering, General",47.4,Test,11.30,3.67,74.0,51.9,39.2,84.3,49.2,0.0,f,f,
Building/Property Maintenance,47.3,Test,119.77,4.17,0.0,0.0,95.5,0.0,57.8,100.0,t,f,
Aviation/Airway Management and Operations,47.3,Test,18.50,6.10,110.0,59.4,51.2,19.9,73.9,0.0,f,f,
Developmental Biology and Embryology,47.2,Test,18.96,13.30,8.0,21.5,52.4,11.9,88.3,100.0,t,f,
Computer Graphics,47.2,Test,13.86,-0.16,259.0,71.9,46.3,63.5,14.5,0.0,f,f,
Office Management and Supervision,47.1,Test,126.52,0.43,60.0,48.6,95.7,8.9,16.8,0.0,f,f,
Cell Biology and Anatomy,47.0,Test,7.62,6.77,51.0,46.3,27.5,89.4,76.2,0.0,f,f,
"Family and Consumer Sciences/Human Sciences, General",46.9,Test,65.28,-1.60,202.0,68.7,78.3,14.8,3.7,0.0,f,f,
"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other",46.9,Test,,,329.0,75.1,,21.8,,0.0,f,f,
French Language and Literature,46.9,Test,61.05,-1.36,178.0,67.3,75.0,22.0,6.2,0.0,f,f,
Cardiovascular Science,46.8,Test,8.40,8.30,48.0,45.3,30.1,80.4,81.0,0.0,f,f,
Humanities/Humanistic Studies,46.8,Test,13.50,1.80,457.0,79.9,45.6,31.4,29.4,0.0,f,f,
Geropsychology,46.8,Test,97.70,4.82,0.0,0.0,88.5,0.0,68.2,100.0,t,f,
Security and Loss Prevention Services,46.7,Test,150.88,0.54,20.0,32.9,96.6,35.3,17.1,0.0,f,f,
Conservation Biology,46.6,Test,4.64,4.14,238.0,71.0,12.8,85.4,57.5,0.0,f,f,
E-Commerce/Electronic Commerce,46.6,Test,127.45,-0.96,58.0,48.3,95.9,11.2,11.3,0.0,f,f,
"Data Science, Other",46.6,Test,17.08,16.78,6.0,18.9,50.2,10.3,95.3,100.0,t,f,
"Geology/Earth Science, General",46.5,Test,6.63,3.51,1173.0,89.6,22.4,39.4,46.5,0.0,f,f,
Architecture,46.5,Test,11.66,3.78,661.0,83.3,41.9,8.8,50.8,0.0,f,f,
Kindergarten/Preschool Education and Teaching,46.5,Test,51.23,3.01,100.0,57.7,70.8,11.6,41.7,0.0,f,f,
Genome Sciences/Genomics,46.5,Test,6.62,4.03,109.0,59.0,20.3,98.3,52.8,0.0,f,f,
Liberal Arts and Sciences/Liberal Studies,46.4,Test,13.50,1.80,874.0,86.3,45.6,16.0,29.4,0.0,f,f,
Marine Sciences,46.4,Test,10.93,2.95,98.0,57.2,38.1,77.7,41.2,0.0,f,f,
Graphic Design,46.3,Test,15.39,3.83,169.0,66.4,48.3,28.0,51.1,0.0,f,f,
Landscape Architecture,46.3,Test,12.72,3.69,329.0,75.1,44.5,18.8,50.6,0.0,f,f,
Applied Demography,46.3,Test,102.49,4.29,0.0,0.0,91.8,0.0,58.3,100.0,t,f,
"Classics and Classical Languages, Literatures, and Linguistics, General",46.2,Test,61.05,-1.36,142.0,63.1,75.0,25.9,6.2,0.0,f,f,
Environmental Psychology,46.2,Test,99.02,4.46,0.0,0.0,89.6,0.0,62.2,100.0,t,f,
Poultry Science,46.2,Test,78.36,-0.92,25.0,36.0,81.1,62.1,11.9,0.0,f,f,
Agribusiness/Agricultural Business Operations,46.1,Test,84.43,-1.23,35.0,40.2,83.0,51.5,9.4,0.0,f,f,
"Specialized Merchandising, Sales, and Marketing Operations, Other",46.0,Test,,,66.0,50.1,,68.5,,0.0,f,f,
Digital Arts,46.0,Test,16.12,2.53,114.0,60.0,48.9,49.6,39.0,0.0,f,f,
"Professional, Technical, Business, and Scientific Writing",46.0,Test,12.48,2.04,299.0,73.6,44.1,39.7,31.8,0.0,f,f,
Legal Assistant/Paralegal,45.9,Test,31.63,0.26,102.0,58.0,66.5,40.7,16.2,0.0,f,f,
"Health Professions Education, Ethics, and Humanities, Other",45.8,Test,50.95,18.29,0.0,0.0,70.6,0.0,97.7,100.0,t,f,
Vision Science/Physiological Optics,45.8,Test,8.40,8.30,44.0,43.9,30.1,76.5,81.0,0.0,f,f,
Technology Teacher Education/Industrial Arts Teacher Education,45.7,Test,53.61,-1.59,184.0,67.6,71.3,23.2,3.8,0.0,f,f,
Psychiatric/Mental Health Services Technician,45.7,Test,13.67,15.71,6.0,18.9,46.2,14.3,93.5,100.0,t,f,
International and Comparative Education,45.6,Pass,,,193.0,68.2,,30.8,,0.0,f,f,
Molecular Toxicology,45.6,Pass,18.87,12.56,0.0,0.0,52.3,,87.4,100.0,t,f,
"Foods, Nutrition, and Wellness Studies, General",45.6,Pass,5.50,4.70,582.0,82.5,14.5,43.1,66.6,0.0,f,f,
Biochemical Engineering,45.5,Pass,11.30,3.67,32.0,39.4,39.2,96.8,49.2,0.0,f,f,
Biochemistry and Molecular Biology,45.5,Pass,6.62,4.03,170.0,66.7,20.3,76.4,52.8,0.0,f,f,
Education/Teaching of the Gifted and Talented,45.4,Pass,,,210.0,69.2,,28.1,,0.0,f,f,
Physics Teacher Education,45.4,Pass,61.44,-1.31,57.0,48.1,77.2,43.6,8.6,0.0,f,f,
"Teacher Education and Professional Development, Specific Subject Areas, Other",45.4,Pass,13.94,0.62,918.0,87.1,46.5,17.6,17.6,0.0,f,f,
Juvenile Corrections,45.4,Pass,32.01,-2.03,30.0,38.4,66.6,90.7,2.0,0.0,f,f,
"Romance Languages, Literatures, and Linguistics, General",45.4,Pass,61.05,-1.36,77.0,52.7,75.0,41.0,6.2,0.0,f,f,
Religious Education,45.4,Pass,11.86,1.87,416.0,78.8,42.8,29.5,30.2,0.0,f,f,
"Education, Other",45.3,Pass,13.94,0.62,1148.0,89.3,46.5,12.7,17.6,0.0,f,f,
"Art History, Criticism and Conservation",45.3,Pass,7.57,2.60,768.0,85.2,27.1,37.6,39.5,0.0,f,f,
Environmental/Natural Resource Recreation and Tourism,45.3,Pass,5.50,7.70,66.0,50.1,14.5,94.2,78.5,0.0,f,f,
"Atmospheric Sciences and Meteorology, General",45.2,Pass,8.85,3.54,227.0,70.0,33.4,47.2,47.1,0.0,f,f,
Quality Control Technology/Technician,45.2,Pass,69.90,0.00,52.0,46.9,79.0,34.9,14.9,0.0,f,f,
Energy and Environmental Policy,45.1,Pass,30.62,2.58,8.0,21.5,66.1,86.0,39.2,0.0,f,f,
"Historic Preservation and Conservation, General",45.0,Pass,13.03,2.73,173.0,67.1,45.1,35.7,40.0,0.0,f,f,
Developmental Services Worker,44.9,Pass,42.74,6.02,8.0,21.5,68.8,,73.7,0.0,f,f,
Pre-Law Studies,44.8,Pass,,,42.0,42.9,,78.3,,0.0,f,f,
Social Science Teacher Education,44.8,Pass,54.65,-1.59,111.0,59.6,71.8,31.9,3.8,0.0,f,f,
Food Science,44.8,Pass,1.99,5.20,438.0,79.4,7.1,54.9,70.7,0.0,f,f,
Woodwind Instruments,44.7,Pass,15.04,1.35,88.0,55.0,47.6,68.5,24.2,0.0,f,f,
Illustration,44.6,Pass,6.82,1.85,291.0,73.2,23.2,74.2,30.0,0.0,f,f,
Spanish Language Teacher Education,44.6,Pass,54.65,-1.59,118.0,60.3,71.8,29.2,3.8,0.0,f,f,
Geological/Geophysical Engineering,44.6,Pass,11.30,3.67,125.0,61.5,39.2,46.5,49.2,0.0,f,f,
Architectural Drafting and Architectural CAD/CADD,44.6,Pass,10.00,4.10,64.0,49.6,36.0,69.6,56.6,0.0,f,f,
"Public Policy Analysis, General",44.6,Pass,3.41,3.51,2551.0,93.8,11.1,41.3,46.5,0.0,f,f,
"Agricultural Business and Management, Other",44.5,Pass,78.99,-0.96,9.0,22.9,81.9,75.5,11.3,0.0,f,f,
"Communication, Journalism, and Related Programs, Other",44.5,Pass,10.61,2.20,382.0,78.0,37.4,32.7,33.4,0.0,f,f,
"East Asian Languages, Literatures, and Linguistics, General",44.5,Pass,61.05,-1.36,76.0,52.6,75.0,35.1,6.2,0.0,f,f,
Polymer/Plastics Engineering,44.5,Pass,11.62,4.71,79.0,52.8,41.3,41.8,66.8,0.0,f,f,
Industrial Technology/Technician,44.3,Pass,6.30,1.70,625.0,83.0,18.9,64.4,27.0,0.0,f,f,
"Sports, Kinesiology, and Physical Education/Fitness, Other",44.3,Pass,,,62.0,49.1,,64.4,,0.0,f,f,
Assistive/Augmentative Technology and Rehabilitation Engineering,44.3,Pass,9.19,1.93,71.0,51.5,34.5,92.3,30.8,0.0,f,f,
Jazz/Jazz Studies,44.2,Pass,15.04,1.35,154.0,64.6,47.6,46.1,24.2,0.0,f,f,
Biophysics,44.1,Pass,8.43,6.87,62.0,49.1,31.0,57.2,76.4,0.0,f,f,
Reproductive Biology,44.0,Pass,8.40,8.30,20.0,32.9,30.1,86.0,81.0,0.0,f,f,
Ceramic Sciences and Engineering,44.0,Pass,11.62,4.71,19.0,32.3,41.3,79.1,66.8,0.0,f,f,
Oncology and Cancer Biology,43.9,Pass,8.40,8.30,47.0,44.6,30.1,62.0,81.0,0.0,f,f,
Criminal Law and Procedure,43.9,Pass,30.53,4.04,19.0,32.3,64.7,,55.0,0.0,f,f,
Cell Physiology,43.9,Pass,8.40,8.30,18.0,31.6,30.1,88.1,81.0,0.0,f,f,
Aquaculture,43.8,Pass,78.99,-0.96,29.0,37.7,81.9,41.5,11.3,0.0,f,f,
"Business/Corporate Communications, General",43.8,Pass,20.57,3.66,90.0,55.3,55.2,22.3,48.9,0.0,f,f,
Molecular Biochemistry,43.7,Pass,8.43,6.87,75.0,52.2,31.0,48.7,76.4,0.0,f,f,
"Applied Mathematics, Other",43.7,Pass,16.87,21.41,1.0,10.0,49.6,6.8,98.7,100.0,t,f,
"Agriculture, General",43.3,Pass,1.97,5.33,360.0,76.7,6.8,50.5,71.4,0.0,f,f,
Secondary School Administration/Principalship,43.3,Pass,20.80,-1.50,301.0,74.0,55.6,23.8,5.7,0.0,f,f,
"Fine/Studio Arts, General",43.3,Pass,7.23,1.15,1195.0,89.7,25.5,37.2,21.0,0.0,f,f,
"Regional Studies (U.S., Canadian, Foreign)",43.3,Pass,1.10,2.40,371.0,77.3,1.7,96.2,34.4,0.0,f,f,
Biometry/Biometrics,43.3,Pass,6.62,4.03,83.0,53.7,20.3,87.7,52.8,0.0,f,f,
Music Technology,43.2,Pass,7.11,0.89,137.0,62.7,25.0,93.3,19.6,0.0,f,f,
Automotive Engineering Technology/Technician,43.2,Pass,63.89,3.50,12.0,26.9,78.0,32.8,45.7,0.0,f,f,
Radiologist Assistant,43.2,Pass,13.90,4.55,13.0,27.9,46.4,74.0,65.7,0.0,f,f,
Engineering Mechanics,43.1,Pass,14.85,5.73,62.0,49.1,47.4,21.8,72.8,0.0,f,f,
Petroleum Engineering,43.0,Pass,11.72,4.39,150.0,63.9,42.3,14.1,60.3,0.0,f,f,
Dental Materials,43.0,Pass,26.79,16.92,0.0,0.0,62.3,0.0,95.6,100.0,t,f,
Documentary Production,43.0,Pass,10.20,3.60,36.0,41.0,36.3,84.4,47.8,0.0,f,f,
Maritime Studies,42.9,Pass,13.26,1.81,22.0,34.2,45.5,97.1,29.7,0.0,f,f,
Facilities Planning and Management,42.9,Pass,12.92,4.06,22.0,34.2,45.0,71.2,56.5,0.0,f,f,
"Animation, Interactive Technology, Video Graphics, and Special Effects",42.9,Pass,5.00,1.60,519.0,81.3,13.4,70.0,26.5,0.0,f,f,
Education/Teaching of Individuals with Autism,42.8,Pass,8.50,-0.86,261.0,72.1,32.3,63.9,12.4,0.0,f,f,
Elementary and Middle School Administration/Principalship,42.8,Pass,20.80,-1.50,375.0,77.6,55.6,13.1,5.7,0.0,f,f,
"Oceanography, Chemical and Physical",42.8,Pass,6.63,3.51,204.0,68.9,22.4,56.0,46.5,0.0,f,f,
Chemical Technology/Technician,42.7,Pass,11.11,2.58,36.0,41.0,38.8,86.0,39.2,0.0,f,f,
Hawaiian Language and Literature,42.7,Pass,61.05,-1.36,6.0,18.9,75.0,90.7,6.2,0.0,f,f,
"Physics, Other",42.6,Pass,6.51,3.61,154.0,64.6,19.4,67.9,48.1,0.0,f,f,
Brewery/Brewpub Operations/Management,42.5,Pass,42.00,6.40,3.0,14.1,68.6,,75.2,0.0,f,f,
Adult and Continuing Education Administration,42.5,Pass,3.97,3.94,249.0,71.4,11.8,65.5,51.5,0.0,f,f,
Energy Systems Installation and Repair Technology/Technician,42.5,Pass,44.75,7.45,0.0,0.0,69.2,0.0,78.3,100.0,t,f,
Peace Studies and Conflict Resolution,42.5,Pass,11.18,1.29,374.0,77.4,38.9,26.8,23.8,0.0,f,f,
Livestock Management,42.4,Pass,78.84,-1.04,3.0,14.1,81.4,81.4,10.5,0.0,f,f,
Cultural Studies/Critical Theory and Analysis,42.3,Pass,10.99,1.24,42.0,42.9,38.3,96.3,23.3,0.0,f,f,
Journalism,42.2,Pass,10.49,1.21,708.0,84.3,37.2,17.0,21.4,0.0,f,f,
Animal-Assisted Therapy,42.2,Pass,23.62,16.36,0.0,0.0,60.2,0.0,94.2,100.0,t,f,
Dental Laboratory Technology/Technician,42.2,Pass,24.85,14.92,0.0,0.0,61.2,0.0,92.1,100.0,t,f,
"Education, General",42.2,Pass,5.60,2.10,13021.0,99.2,14.9,20.6,32.6,0.0,f,f,
Astronomy,42.1,Pass,7.50,3.55,128.0,61.9,27.0,55.4,47.2,0.0,f,f,
"Water, Wetlands, and Marine Resources Management",42.1,Pass,2.37,3.43,187.0,68.0,8.7,82.1,45.1,0.0,f,f,
Space Systems Operations,41.9,Pass,,,93.0,55.9,,,,0.0,f,f,
Climate Science,41.9,Pass,7.10,3.36,91.0,55.4,24.6,75.7,43.9,0.0,f,f,
Textile Sciences and Engineering,41.7,Pass,11.62,4.71,49.0,45.7,41.3,37.2,66.8,0.0,f,f,
Ocean Engineering,41.7,Pass,11.30,3.67,69.0,50.8,39.2,48.6,49.2,0.0,f,f,
Brass Instruments,41.7,Pass,15.04,1.35,47.0,44.6,47.6,69.5,24.2,0.0,f,f,
Human Biology,41.5,Pass,6.62,4.03,40.0,42.5,20.3,98.4,52.8,0.0,f,f,
"Physical Sciences, Other",41.5,Pass,10.72,2.30,132.0,62.3,37.5,43.0,33.9,0.0,f,f,
Nanotechnology,41.5,Pass,9.30,2.10,41.0,42.5,34.7,89.5,32.6,0.0,f,f,
