cip2020_title,score,band,employment_weighted_openings,employment_weighted_growth_pct,completions_latest_year,pct_completions_latest_year,pct_employment_weighted_openings,pct_completions_trend_pct,pct_employment_weighted_growth_pct,pct_bls_top30_flag,in_bls_top30_flag,is_finalist,proposed_name
"Public Health, Other",79.3,Go,51.01,21.31,911.0,86.7,70.7,48.3,98.6,100.0,t,f,
Systems Science and Theory,79.2,Go,95.43,4.17,423.0,78.9,86.6,72.6,57.8,100.0,t,f,
"Arts, Entertainment, and Media Management, Other",79.2,Go,97.07,4.33,146.0,63.4,87.5,99.8,59.5,100.0,t,f,
Infectious Disease and Global Health,79.1,Go,47.51,18.71,146.0,63.4,69.9,96.0,97.9,100.0,t,f,
Clinical Nurse Specialist,79.0,Go,171.31,8.15,252.0,71.7,97.3,42.7,79.4,100.0,t,f,
International Marketing,78.8,Go,66.75,6.60,288.0,72.9,78.6,79.8,75.6,100.0,t,f,
"Marketing/Marketing Management, General",78.8,Go,64.24,6.05,1929.0,92.3,78.1,43.9,73.8,100.0,t,f,
"Anthropology, General",78.8,Go,105.50,4.49,912.0,86.8,93.4,33.7,64.3,100.0,t,f,
"Sociology, General",78.7,Go,102.56,4.47,1199.0,89.7,91.9,30.9,63.6,100.0,t,f,
Criminology,78.5,Go,97.41,4.44,792.0,85.5,87.9,48.0,61.9,100.0,t,f,
Mathematics and Statistics,78.5,Go,16.87,21.41,549.0,81.9,49.6,94.7,98.7,100.0,t,f,
Public Health/Community Nurse/Nursing,78.4,Go,171.31,8.15,204.0,68.9,97.3,44.0,79.4,100.0,t,f,
Occupational Therapy/Therapist,78.4,Go,21.28,16.05,5737.0,97.5,57.5,52.6,93.7,100.0,t,f,
Clinical Laboratory Science/Medical Technology/Technologist,78.3,Go,27.40,17.30,377.0,77.8,63.2,76.7,96.4,100.0,t,f,
Nutrition Sciences,78.3,Go,19.36,12.16,1727.0,91.8,53.3,78.4,86.5,100.0,t,f,
"Computer/Information Technology Services Administration and Management, Other",78.2,Go,,,3329.0,95.0,,96.6,,0.0,f,f,
Pharmacoeconomics/Pharmaceutical Economics,78.2,Go,50.05,20.93,105.0,58.5,70.3,98.8,98.3,100.0,t,f,
International Business/Trade/Commerce,78.0,Go,245.50,4.07,1249.0,90.1,99.4,17.6,56.6,100.0,t,f,
Taxation,77.7,Go,113.81,5.12,850.0,86.1,95.0,19.0,70.3,100.0,t,f,
International Public Health/International Health,77.6,Go,56.44,21.25,419.0,78.8,74.0,46.8,98.5,100.0,t,f,
"Computer Programming, Specific Applications",77.6,Go,98.49,13.91,54.0,47.5,89.2,88.1,89.2,100.0,t,f,
"Educational Assessment, Testing, and Measurement",77.6,Go,89.03,8.02,139.0,63.0,85.0,75.4,79.0,100.0,t,f,
Pharmaceutical Sciences,77.4,Go,20.93,14.17,487.0,80.5,55.8,86.8,89.7,100.0,t,f,
"Statistics, General",77.3,Go,16.87,21.41,2725.0,94.0,49.6,62.6,98.7,100.0,t,f,
Orthotist/Prosthetist,77.2,Go,25.54,16.65,233.0,70.7,61.6,88.0,95.1,100.0,t,f,
Biostatistics,77.1,Go,18.61,12.22,1091.0,88.7,51.6,79.8,86.6,100.0,t,f,
Audiology/Audiologist and Speech-Language Pathology/Pathologist,77.1,Go,21.18,16.18,2893.0,94.4,57.2,50.0,93.8,100.0,t,f,
"Marketing, Other",77.1,Go,66.75,6.60,299.0,73.6,78.6,67.0,75.6,100.0,t,f,
Computational and Applied Mathematics,76.9,Go,16.87,21.41,377.0,77.8,49.6,92.7,98.7,100.0,t,f,
Clinical Research Coordinator,76.8,Go,84.54,9.50,132.0,62.3,83.1,70.9,83.3,100.0,t,f,
"Arts, Entertainment, and Media Management, General",76.8,Go,97.07,4.33,268.0,72.4,87.5,66.2,59.5,100.0,t,f,
"Logistics, Materials, and Supply Chain Management",76.7,Go,20.74,8.30,1223.0,90.0,55.5,72.7,81.0,100.0,t,f,
Fire Services Administration,76.7,Go,92.73,4.13,154.0,64.6,86.1,85.8,57.4,100.0,t,f,
"Communication Sciences and Disorders, General",76.5,Go,21.18,16.18,2034.0,92.8,57.2,49.4,93.8,100.0,t,f,
Healthcare Innovation,76.4,Go,62.10,23.20,93.0,55.9,77.4,,99.5,100.0,t,f,
Accounting and Business/Management,76.3,Go,95.94,7.89,289.0,73.1,87.1,42.9,78.7,100.0,t,f,
Mental Health Counseling/Counselor,76.2,Go,,,9776.0,98.3,,82.8,,0.0,f,f,
Health Policy Analysis,75.5,Go,48.95,20.32,105.0,58.5,70.3,81.0,98.2,100.0,t,f,
Substance Abuse/Addiction Counseling,75.4,Go,27.40,17.30,525.0,81.5,63.2,50.0,96.4,100.0,t,f,
"Mental and Social Health Services and Allied Professions, Other",75.3,Go,,,1290.0,90.4,,95.4,,0.0,f,f,
"Mathematics, General",75.2,Test,54.75,4.76,2233.0,93.3,73.4,33.8,67.6,100.0,t,f,
"Geography, Other",75.2,Test,106.26,4.49,64.0,49.6,93.9,83.1,64.3,100.0,t,f,
Computer Systems Networking and Telecommunications,75.2,Test,42.19,14.50,488.0,80.7,68.7,44.3,91.3,100.0,t,f,
"Parks, Recreation, and Leisure Facilities Management, General",75.1,Test,293.90,4.41,283.0,72.8,99.9,28.2,60.4,100.0,t,f,
Cyber/Computer Forensics and Counterterrorism,74.9,Test,24.09,11.64,747.0,84.8,60.8,56.3,85.3,100.0,t,f,
Financial Forensics and Fraud Investigation,74.9,Test,112.04,4.76,149.0,63.9,94.7,47.9,67.6,100.0,t,f,
Cloud Computing,74.8,Test,98.04,14.40,43.0,43.4,88.9,76.1,91.3,100.0,t,f,
Cognitive Psychology and Psycholinguistics,74.6,Test,99.02,4.46,61.0,48.9,89.6,91.2,62.2,100.0,t,f,
Art Therapy/Therapist,74.6,Test,23.62,16.36,514.0,81.1,60.2,53.8,94.2,100.0,t,f,
"Pharmacy, Pharmaceutical Sciences, and Administration, Other",74.5,Test,27.40,17.30,364.0,77.0,63.2,53.5,96.4,100.0,t,f,
Retail Management,74.4,Test,252.68,1.86,81.0,53.2,99.7,93.5,30.1,100.0,t,f,
Health/Medical  Physics,74.4,Test,24.14,15.55,201.0,68.6,60.9,77.1,93.4,100.0,t,f,
"System, Networking, and LAN/WAN Management/Manager",74.1,Test,41.37,15.58,73.0,51.9,68.2,93.6,93.4,100.0,t,f,
"Applied Mathematics, General",74.1,Test,16.87,21.41,949.0,87.5,49.6,54.3,98.7,100.0,t,f,
Natural Products Chemistry and Pharmacognosy,73.8,Test,20.93,14.17,137.0,62.7,55.8,98.5,89.7,100.0,t,f,
American  History (United States),73.8,Test,87.57,1.73,229.0,70.1,84.5,87.6,28.2,100.0,t,f,
"Management Information Systems, General",73.8,Test,44.46,11.69,1162.0,89.4,69.2,22.9,85.4,100.0,t,f,
Medical Microbiology and Bacteriology,73.6,Test,18.61,12.22,373.0,77.3,51.6,79.7,86.6,100.0,t,f,
Critical Infrastructure Protection,73.6,Test,95.56,4.32,169.0,66.4,86.6,59.2,59.0,100.0,t,f,
"History, General",73.5,Test,87.57,1.73,3009.0,94.6,84.5,37.0,28.2,100.0,t,f,
Behavioral Aspects of Health,73.5,Test,21.13,14.23,120.0,60.5,57.0,98.1,90.4,100.0,t,f,
Auditing,73.4,Test,112.94,5.18,54.0,47.5,94.9,67.4,70.5,100.0,t,f,
Fine and Studio Arts Management,73.4,Test,97.07,4.33,365.0,77.1,87.5,34.2,59.5,100.0,t,f,
Perfusion Technology/Perfusionist,73.4,Test,23.09,14.69,151.0,64.2,59.8,82.6,91.8,100.0,t,f,
Maternal/Child Health and Neonatal Nurse/Nursing,73.3,Test,171.31,8.15,125.0,61.5,97.3,24.8,79.4,100.0,t,f,
"Data Analytics, Other",73.3,Test,75.58,11.98,70.0,51.1,80.3,,86.0,100.0,t,f,
Behavioral Neuroscience,73.2,Test,98.32,4.35,55.0,47.8,89.1,87.3,60.0,100.0,t,f,
Forensic Nursing,73.2,Test,171.31,8.15,19.0,32.3,97.3,82.9,79.4,100.0,t,f,
Archives/Archival Administration,73.2,Test,105.97,4.50,121.0,60.9,93.9,46.6,64.8,100.0,t,f,
Sport and Fitness Administration/Management,73.1,Test,56.28,9.31,4581.0,96.6,73.9,63.4,83.1,0.0,f,f,
Environmental Health,73.1,Test,19.58,13.80,706.0,84.1,53.4,56.8,89.0,100.0,t,f,
Urban Studies/Affairs,73.1,Test,101.84,4.42,315.0,74.6,91.3,28.0,60.9,100.0,t,f,
Community Psychology,73.0,Test,99.02,4.46,229.0,70.1,89.6,38.2,62.2,100.0,t,f,
