cip2020_code,cip2020_title,already_offered_by_vanderbilt,pct_completions_latest_year,pct_completions_trend_pct,pct_employment_weighted_openings,pct_employment_weighted_growth_pct,pct_bls_top30_flag,n_metrics_used,score,band
45.0401,Criminology,f,85.5,48.0,87.9,61.9,100.0,5,78.5,Go
51.2306,Occupational Therapy/Therapist,f,97.5,52.6,57.5,93.7,100.0,5,78.4,Go
51.3811,Public Health/Community Nurse/Nursing,f,68.9,44.0,97.3,79.4,100.0,5,78.4,Go
30.1901,Nutrition Sciences,f,91.8,78.4,53.3,86.5,100.0,5,78.3,Go
51.1005,Clinical Laboratory Science/Medical Technology/Technologist,f,77.8,76.7,63.2,96.4,100.0,5,78.3,Go
11.1099,"Computer/Information Technology Services Administration and Management, Other",f,95.0,96.6,,,0.0,3,78.2,Go
51.2007,Pharmacoeconomics/Pharmaceutical Economics,f,58.5,98.8,70.3,98.3,100.0,5,78.2,Go
52.1101,International Business/Trade/Commerce,f,90.1,17.6,99.4,56.6,100.0,5,78.0,Go
52.1601,Taxation,f,86.1,19.0,95.0,70.3,100.0,5,77.7,Go
11.0202,"Computer Programming, Specific Applications",f,47.5,88.1,89.2,89.2,100.0,5,77.6,Go
13.0604,"Educational Assessment, Testing, and Measurement",f,63.0,75.4,85.0,79.0,100.0,5,77.6,Go
51.2210,International Public Health/International Health,f,78.8,46.8,74.0,98.5,100.0,5,77.6,Go
51.2010,Pharmaceutical Sciences,f,80.5,86.8,55.8,89.7,100.0,5,77.4,Go
27.0501,"Statistics, General",f,94.0,62.6,49.6,98.7,100.0,5,77.3,Go
51.2307,Orthotist/Prosthetist,f,70.7,88.0,61.6,95.1,100.0,5,77.2,Go
26.1102,Biostatistics,f,88.7,79.8,51.6,86.6,100.0,5,77.1,Go
51.0204,Audiology/Audiologist and Speech-Language Pathology/Pathologist,f,94.4,50.0,57.2,93.8,100.0,5,77.1,Go
52.1499,"Marketing, Other",f,73.6,67.0,78.6,75.6,100.0,5,77.1,Go
27.0304,Computational and Applied Mathematics,f,77.8,92.7,49.6,98.7,100.0,5,76.9,Go
50.1001,"Arts, Entertainment, and Media Management, General",f,72.4,66.2,87.5,59.5,100.0,5,76.8,Go
51.0719,Clinical Research Coordinator,f,62.3,70.9,83.1,83.3,100.0,5,76.8,Go
43.0202,Fire Services Administration,f,64.6,85.8,86.1,57.4,100.0,5,76.7,Go
52.0203,"Logistics, Materials, and Supply Chain Management",f,90.0,72.7,55.5,81.0,100.0,5,76.7,Go
51.0201,"Communication Sciences and Disorders, General",f,92.8,49.4,57.2,93.8,100.0,5,76.5,Go
51.0722,Healthcare Innovation,f,55.9,,77.4,99.5,100.0,4,76.4,Go
52.0305,Accounting and Business/Management,f,73.1,42.9,87.1,78.7,100.0,5,76.3,Go
51.1508,Mental Health Counseling/Counselor,f,98.3,82.8,,,0.0,3,76.2,Go
44.0503,Health Policy Analysis,f,58.5,81.0,70.3,98.2,100.0,5,75.5,Go
51.1501,Substance Abuse/Addiction Counseling,f,81.5,50.0,63.2,96.4,100.0,5,75.4,Go
51.1599,"Mental and Social Health Services and Allied Professions, Other",f,90.4,95.4,,,0.0,3,75.3,Go
11.0901,Computer Systems Networking and Telecommunications,f,80.7,44.3,68.7,91.3,100.0,5,75.2,Test
27.0101,"Mathematics, General",f,93.3,33.8,73.4,67.6,100.0,5,75.2,Test
