cip2020_code,cip2020_title,latest_year,completions_latest_year,trend_earliest_year,completions_trend_pct,matched_soc_codes,n_socs_used,employment_weighted_openings,employment_weighted_growth_pct,in_bls_top30_flag,already_offered_by_vanderbilt
13.1323,Chemistry Teacher Education,2024,120.0,2012,44.6,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1324,Drama and Dance Teacher Education,2024,106.0,2012,47.2,"25-2031, 25-2022, 25-1121",3,53.61,-1.52,f,f
13.1325,French Language Teacher Education,2024,13.0,2012,-67.5,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1326,German Language Teacher Education,2024,0.0,2012,-100.0,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1327,Health Occupations Teacher Education,2024,75.0,2012,177.8,"25-2022, 25-1071, 25-1194",3,33.17,3.66,t,f
13.1328,History Teacher Education,2024,237.0,2012,121.5,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1329,Physics Teacher Education,2024,57.0,2012,-1.7,"25-2031, 25-1081, 25-1054",3,61.44,-1.31,f,f
13.1330,Spanish Language Teacher Education,2024,118.0,2012,-32.6,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1331,Speech Teacher Education,2024,17.0,2012,-72.6,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1332,Geography Teacher Education,2024,0.0,2012,-100.0,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1333,Latin Teacher Education,2024,2.0,2012,-75.0,"25-2031, 25-2022, 25-1124",3,55.95,-1.72,f,f
13.1334,School Librarian/School Library Media Specialist,2024,305.0,2012,79.4,25-4022,1,13.50,1.70,f,f
13.1335,Psychology Teacher Education,2024,0.0,2012,,"25-2031, 25-1066",2,63.35,-1.36,f,f
13.1337,Earth Science Teacher Education,2024,98.0,2012,81.5,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1338,Environmental Education,2024,29.0,2012,190.0,"25-2021, 25-2031, 25-2022",3,72.23,-1.86,f,f
13.1399,"Teacher Education and Professional Development, Specific Subject Areas, Other",2024,918.0,2012,-57.9,"25-3099, 25-1081",2,13.94,0.62,f,f
13.1401,Teaching English as a Second or Foreign Language/ESL Language Instructor,2024,2742.0,2012,-15.2,"25-2021, 25-2031, 25-2022",3,72.23,-1.86,f,t
13.1402,Teaching French as a Second or Foreign Language,2016,0.0,2012,-100.0,"25-2021, 25-2031, 25-2022",3,72.23,-1.86,f,f
13.1499,"Teaching English or French as a Second or Foreign Language, Other",2024,2.0,2015,-60.0,"25-2021, 25-2031, 25-2022",3,72.23,-1.86,f,f
13.1501,Teacher Assistant/Aide,2024,0.0,2012,-100.0,,0,,,f,f
13.1502,Adult Literacy Tutor/Instructor,2024,8.0,2012,-69.2,25-3011,1,3.90,-13.70,f,f
13.1599,"Teaching Assistants/Aides, Other",2014,0.0,2012,,"25-9044, 25-9099",2,19.69,2.45,f,f
13.9999,"Education, Other",2024,1148.0,2012,-68.0,"25-3099, 25-1081",2,13.94,0.62,f,f
14.0101,"Engineering, General",2024,3868.0,2012,79.6,"11-9041, 17-2199, 25-1032",3,11.30,3.67,f,t
14.0103,Applied Engineering,2024,213.0,2020,156.6,17-2199,1,9.30,2.10,f,f
14.0201,"Aerospace, Aeronautical, and Astronautical/Space Engineering, General",2024,2504.0,2012,66.6,"11-9041, 17-2011, 25-1032",3,10.79,4.94,f,f
14.0202,Astronautical Engineering,2024,8.0,2021,60.0,"11-9041, 17-2011, 25-1032",3,10.79,4.94,f,f
