cip2020_code,cip2020_title,score,completions_latest_year,employment_weighted_openings,n_socs_used,no_labor_data,has_soc_11_1021,matched_soc_codes,algo_cluster_id,algo_cluster_size
45.0102,Research Methodology and Quantitative Methods,88.6,1549.0,101.3,3,f,f,"11-9199, 19-3099, 15-2041",single-45.0102,1
45.0201,"Anthropology, General",78.8,912.0,105.5,3,f,f,"11-9199, 19-3091, 25-1061",single-45.0201,1
45.0401,Criminology,78.5,792.0,97.41,3,f,f,"11-9199, 19-4099, 19-3039",single-45.0401,1
45.0603,Econometrics and Quantitative Economics,92.0,4198.0,91.51,3,f,f,"11-9199, 15-2051, 19-4061",single-45.0603,1
45.0702,Geographic Information Science and Cartography,85.1,694.0,101.51,3,f,f,"11-9199, 17-3031, 17-1021",single-45.0702,1
45.1101,"Sociology, General",78.7,1199.0,102.56,3,f,f,"11-9199, 19-4061, 25-1067",single-45.1101,1
51.0809,Anesthesiologist Assistant,87.3,360.0,112.3,1,f,f,31-9092,single-51.0809,1
51.1005,Clinical Laboratory Science/Medical Technology/Technologist,78.3,377.0,27.4,1,f,f,25-1071,single-51.1005,1
52.0101,"Business/Commerce, General",84.2,8023.0,227.71,3,f,t,"11-1021, 11-9199, 13-1111",single-52.0101,1
52.0701,Entrepreneurship/Entrepreneurial Studies,83.5,1031.0,241.85,3,f,t,"11-1021, 11-9199, 11-1011",single-52.0701,1
52.0801,"Finance, General",82.7,3153.0,246.51,3,f,t,"11-1021, 11-3031, 13-2051",single-52.0801,1
52.1001,"Human Resources Management/Personnel Administration, General",83.2,5218.0,61.18,3,f,f,"13-1071, 13-1151, 13-1041",single-52.1001,1
52.1101,International Business/Trade/Commerce,78.0,1249.0,245.5,3,f,t,"11-1021, 13-1199, 11-1011",single-52.1101,1
52.1206,Information Resources Management,82.1,916.0,52.32,2,f,f,"11-3021, 25-1021",single-52.1206,1
52.1601,Taxation,77.7,850.0,113.81,3,f,f,"13-2011, 13-2082, 13-2061",single-52.1601,1
9.0702,Digital Communication and Media/Multimedia,88.6,2968.0,95.82,3,f,f,"11-9199, 15-1255, 25-1122",single-9.0702,1
