occupation_title,soc_code,occupation_type,employment_2024,employment_2034,employment_change_numeric_2024_34,employment_change_percent_2024_34,labor_force_exit_rate_2024_34,occupational_transfer_rate_2024_34,total_separations_rate_2024_34,labor_force_exits_2024_34,occupational_transfers_2024_34,total_separations_2024_34,occupational_openings_2024_34
Industrial truck and tractor operators,53-7051,Line item,792.5,801.6,9.1,1.1,3.3,6.1,9.5,26.6,48.9,75.5,76.4
Cleaners of vehicles and equipment,53-7061,Line item,410.1,426.2,16.0,3.9,5.6,7.4,13.0,23.6,31.0,54.5,56.2
"Laborers and freight, stock, and material movers, hand",53-7062,Line item,2988.9,3033.1,44.3,1.5,5.0,7.6,12.6,150.2,229.7,379.9,384.3
Machine feeders and offbearers,53-7063,Line item,46.5,40.4,-6.0,-13.0,5.1,7.0,12.1,2.2,3.0,5.3,4.7
"Packers and packagers, hand",53-7064,Line item,591.8,559.7,-32.2,-5.4,5.9,7.5,13.4,33.7,43.5,77.2,74.0
Stockers and order fillers,53-7065,Line item,2764.8,2999.8,235.0,8.5,6.7,8.9,15.6,191.7,257.1,448.8,472.3
Gas compressor and gas pumping station operators,53-7071,Line item,5.4,5.3,-0.1,-1.3,3.8,7.5,11.3,0.2,0.4,0.6,0.6
"Pump operators, except wellhead pumpers",53-7072,Line item,13.1,13.5,0.3,2.6,3.8,7.5,11.3,0.5,1.0,1.5,1.5
Wellhead pumpers,53-7073,Line item,18.8,17.9,-0.9,-4.7,3.8,7.5,11.3,0.7,1.4,2.1,2.0
Refuse and recyclable material collectors,53-7081,Line item,147.9,149.2,1.3,0.9,4.3,7.0,11.3,6.3,10.4,16.8,16.9
"Tank car, truck, and ship loaders",53-7121,Line item,12.0,12.5,0.5,4.3,4.1,6.4,10.5,0.5,0.8,1.3,1.3
"Material moving workers, all other",53-7199,Line item,27.7,28.9,1.2,4.3,4.1,6.4,10.5,1.2,1.8,3.0,3.1
